model,rmse,mae,r2,mape,target,target_name
Ridge,470.4462401024847,253.427861979914,0.9684600414621704,7.727461122181525,energy,Demande electrique (GWh)
ElasticNet,982.5805340294501,472.35048367967977,0.862412992048261,11.094005269293119,energy,Demande electrique (GWh)
GradientBoosting,1421.7987353222575,833.8684155205216,0.7119171788100288,25.233633930272,energy,Demande electrique (GWh)
RandomForest,1619.7827675631206,996.658691546887,0.6261006907215099,31.82192120931014,energy,Demande electrique (GWh)
LightGBM,1789.5741465494207,1002.9349709126565,0.5436053884439117,25.823116508596843,energy,Demande electrique (GWh)
XGBoost,2005.8245296398063,1106.7485793857643,0.42664052947210906,25.527077617098193,energy,Demande electrique (GWh)
Stacking,2134.378299750814,869.0677681448951,0.35079193283213095,15.159681954228136,energy,Demande electrique (GWh)
